92, 0
88, 52
100, 48
96, 44
92, 40
88, 36
84, 32
80, 28
76, 24
72, 20
68, 16
64, 100
60, 100
56, 96
52, 100
48, 100
44, 96
40, 92
36, 88
32, 84
28, 80
24, 76
20, 72
16, 68
12, 64
8, 60
4, 56
0, 52
0, 48
88, 44
84, 40
80, 36
76, 32
72, 28
68, 24
64, 20
60, 16
56, 12
52, 100
48, 100
44, 96
40, 100
36, 96
32, 92
28, 88
24, 100
20, 96
16, 92
12, 100
8, 96
4, 92
0, 88
0, 84
0, 80
0, 76
0, 72
12, 68
8, 64
4, 60
0, 56
4, 52
100, 48
100, 44
96, 40
92, 36
100, 32
100, 28
100, 24
100, 20
100, 16
100, 12
100, 8
96, 4
92, 0
88, 0
84, 0
80, 0
76, 16
100, 12
96, 8
92, 4
88, 0
84, 0
80, 0
76, 0
72, 0
68, 100
64, 96
60, 92
56, 88
52, 84
48, 80
44, 100
40, 100
36, 100
32, 96
28, 92
24, 88
20, 84
16, 80
12, 76
8, 72
4, 68
0, 64
0, 60
0, 56
12, 52
8, 48
4, 44
0, 40
20, 36
16, 32
12, 28
8, 24
100, 20
96, 16
92, 12
88, 8
84, 4
80, 0
76, 0
100, 0
100, 0
100, 8
96, 4
92, 0
88, 8
84, 4
100, 0
100, 4
100, 0
100, 0
96, 8
100, 4
96, 0
92, 0
88, 20
100, 16
100, 12
100, 8
96, 4
92, 0
88, 4
84, 0
80, 0
76, 0
72, 0
68, 0
64, 12
100, 8
100, 4
100, 0
96, 0
100, 0
96, 52
92, 48
100, 44
96, 40
92, 36
100, 32
100, 28
96, 24
92, 20
88, 16
84, 12
80, 8
76, 4
72, 0
68, 0
64, 4
60, 0
56, 92
52, 88
48, 84
44, 80
40, 76
100, 72
100, 68
100, 64
96, 60
92, 56
88, 52
84, 48
100, 44
100, 40
96, 36
100, 32
100, 28
100, 24
100, 20
100, 16
96, 12
92, 8
88, 4
84, 0
80, 0
76, 0
72, 0
68, 0
64, 0
60, 0
56, 100
52, 96
48, 100
44, 96
40, 92
36, 88
32, 84
28, 100
24, 96
20, 92
16, 88
12, 84
8, 80
4, 76
0, 100
0, 100
0, 96
0, 92
0, 88
8, 84
4, 80
0, 76
100, 72
100, 68
100, 64
