359019.891931674, 357061, 355102.108068326
359270.377532945, 356909.6, 354548.822467055
359072.240424123, 356688, 354303.759575877
358945.86284817, 356635.9, 354325.93715183
358941.828017074, 356561.3, 354180.771982926
359004.420123552, 356416.4, 353828.379876448
358786.288468127, 356347.4, 353908.511531873
360542.504530367, 356685.2, 352827.895469633
361455.663899739, 356957.1, 352458.536100261
362715.109253285, 357441.3, 352167.490746715
363936.360680575, 358171.8, 352407.239319425
364253.552580419, 358774.3, 353295.047419581
364505.125932963, 359315, 354124.874067037
365058.070730512, 359810.3, 354562.529269488
365087.702215699, 360468.4, 355849.097784301
364171.145753819, 361260, 358348.854246181
363034.018278166, 361677.2, 360320.381721834
363275.566029865, 361795.9, 360316.233970135
364336.456321532, 362209, 360081.543678469
364818.053726206, 362462.1, 360106.146273794
364878.069259813, 362510.5, 360142.930740187
365015.151350071, 362816.2, 360617.248649929
364851.145040738, 362997.8, 361144.454959262
364838.648419851, 363021.6, 361204.551580149
365066.60863652, 362889.8, 360712.99136348
365127.84481264, 362939.6, 360751.35518736
365434.161259595, 362805.4, 360176.638740405
368383.589152459, 361813.9, 355244.210847541
368852.647926384, 360586.3, 352319.952073616
368395.94330321, 359534.8, 350673.65669679
368141.968881035, 358391.5, 348641.031118965
367461.914175168, 356857.8, 346253.685824832
365890.478535205, 355827.5, 345764.521464795
364329.350718157, 355238.4, 346147.449281843
362791.950446792, 354513.5, 346235.049553208
361492.111353774, 354248.7, 347005.288646226
361103.076789532, 354154.5, 347205.923210468
363335.030651504, 355068.7, 346802.369348496
364922.535724608, 355987.5, 347052.464275392
366940.990797296, 357020, 347099.009202704
368149.411190857, 358250.7, 348351.988809143
367579.984455745, 359725, 351870.015544256
367360.798173659, 360842.3, 354323.801826341
367295.597047814, 361415.2, 355534.802952186
365273.415687804, 362000.8, 358728.184312196
365722.516196342, 361746.3, 357770.083803658
366001.883027851, 361604.1, 357206.316972148
366832.499881901, 360905.3, 354978.100118099
367283.116751714, 360151.9, 353020.683248286
366374.605243518, 359391.7, 352408.794756482
365614.26137233, 358305.4, 350996.53862767
364447.153212994, 357236.2, 350025.246787006
362233.104825372, 356257.4, 350281.695174628
361243.543250244, 354813.5, 348383.456749756
361380.62456153, 353323.5, 345266.37543847
362446.075373216, 351434.5, 340422.924626784
361694.79132945, 349632.7, 337570.60867055
360996.833151113, 348070.1, 335143.366848887
359498.479723621, 347083.8, 334669.120276379
356730.900262107, 345914.6, 335098.299737893
354878.31325293, 344616.8, 334355.28674707
353151.876178022, 342823.4, 332494.923821978
348708.297435552, 341291.5, 333874.702564448
347521.290791087, 339739.7, 331958.109208913
346546.748527287, 338581, 330615.251472713
346457.625189154, 338502.6, 330547.574810846
346149.533935361, 338102.6, 330055.666064639
346645.675560278, 338337.9, 330030.124439722
345830.507762162, 338100.7, 330370.892237838
345934.193690135, 338124.2, 330314.206309865
347167.999058905, 338561, 329954.000941095
348123.571127781, 339459.2, 330794.828872219
348338.226917537, 339665.8, 330993.373082463
348197.67270947, 340798.6, 333399.52729053
349599.963543614, 342457.2, 335314.436456386
352387.711756565, 343814.2, 335240.688243435
353518.117111268, 345443.9, 337369.682888732
357795.816026539, 347105.1, 336414.383973461
360091.319239989, 348592.6, 337093.880760011
361629.021067777, 349686.6, 337744.178932223
363157.476021348, 350999.8, 338842.123978652
364980.731260844, 352689.3, 340397.868739156
365780.446294967, 354943.5, 344106.553705033
367829.231214357, 357364.8, 346900.368785643
369916.81906702, 359172.6, 348428.38093298
370684.194845365, 360518.6, 350353.005154635
373579.16269771, 362607.2, 351635.23730229
376259.177194343, 364089.4, 351919.622805657
375928.660457535, 364722.5, 353516.339542465
375113.813181086, 365586.9, 356059.986818914
374732.84189917, 366761.9, 358790.95810083
376152.095528085, 368154.4, 360156.704471915
375904.182475504, 368571.6, 361239.017524496
377538.424289455, 369287.3, 361036.175710545
379191.287800096, 370115.4, 361039.512199904
379174.653165832, 370131.6, 361088.546834168
378741.327713809, 369217, 359692.672286191
378015.47487999, 368201.6, 358387.72512001
378775.730622982, 367758.5, 356741.269377018
378810.876808573, 367660, 356509.123191427
378448.923891081, 367230.5, 356012.076108919
378148.989838262, 365041, 351933.010161738
378231.816723552, 363702.9, 349173.983276448
374953.375290808, 361655.3, 348357.224709192
369243.109261857, 359992.8, 350742.490738143
369375.801350457, 360030.8, 350685.798649543
369385.35576719, 360034.4, 350683.44423281
369192.49405789, 358939.4, 348686.30594211
370359.553797301, 357740.4, 345121.246202699
371833.312928114, 355187.8, 338542.287071886
369902.345992976, 352889.4, 335876.454007024
369754.503025337, 352211, 334667.496974663
369271.030955831, 351465, 333658.969044169
368755.323378913, 351063.3, 333371.276621087
367425.012985857, 350491.2, 333557.387014143
362745.608170664, 349143.9, 335542.191829336
356971.565537939, 347578.5, 338185.434462061
358055.763927024, 347897.9, 337740.036072976
358063.637714062, 347912.1, 337760.562285938
357655.594589079, 349489.7, 341323.805410922
357198.134929543, 350603.7, 344009.265070457
356978.344592036, 351207, 345435.655407964
359949.069664183, 352634.3, 345319.530335817
362939.233297311, 353810.1, 344680.966702689
365033.116197553, 354651.6, 344270.083802447
365770.672848741, 355254.6, 344738.527151259
367433.319744396, 356837.9, 346242.480255604
369729.521968331, 357912.5, 346095.478031669
368514.171770602, 359257.7, 350001.228229398
369110.113512587, 360281.3, 351452.486487413
369702.417157785, 361632.6, 353562.782842215
367582.051771699, 362824.6, 358067.148228301
367567.86028076, 362986.6, 358405.33971924
367642.64617857, 362785.5, 357928.35382143
